10:21:41,801 | BinanceWeight | Master | GetInstruments - Weight: 1
10:23:33,547 | BinanceWeight | Master | GetInstruments - Weight: 1
10:47:49,556 | BinanceWeight | Master | GetInstruments - Weight: 1
10:51:43,459 | BinanceWeight | Master | GetInstruments - Weight: 1
10:51:44,199 | BinanceWeight | Master | GetAllOpenOrderds - Weight: 40
10:51:44,478 | BinanceWeight | Master | GetPositions - Weight: 5
10:51:50,121 | BinanceWeight | Master | GetPositions - Weight: 5
10:51:50,829 | BinanceWeight | Master | GetAllOpenOrderds - Weight: 40
10:56:50,962 | BinanceWeight | Master | GetInstruments - Weight: 1
10:56:51,206 | BinanceWeight | Master | GetAllOpenOrderds - Weight: 40
10:56:51,663 | BinanceWeight | Master | GetPositions - Weight: 5
10:56:56,851 | BinanceWeight | Master | GetPositions - Weight: 5
10:56:57,563 | BinanceWeight | Master | GetAllOpenOrderds - Weight: 40
11:00:29,720 | BinanceWeight | Master | GetInstruments - Weight: 1
11:00:29,920 | BinanceWeight | Master | GetAllOpenOrderds - Weight: 40
11:00:31,036 | BinanceWeight | Master | GetPositions - Weight: 5
11:00:35,602 | BinanceWeight | Master | GetPositions - Weight: 5
11:00:36,316 | BinanceWeight | Master | GetAllOpenOrderds - Weight: 40
11:31:12,209 | BinanceWeight | Master | GetInstruments - Weight: 1
11:32:04,082 | BinanceWeight | Master | GetInstruments - Weight: 1
11:33:43,694 | BinanceWeight | Master | GetInstruments - Weight: 1
12:10:15,953 | BinanceWeight | Master | GetInstruments - Weight: 1
12:10:16,213 | BinanceWeight | Master | GetAllOpenOrderds - Weight: 40
12:10:17,540 | BinanceWeight | Master | GetPositions - Weight: 5
12:10:21,745 | BinanceWeight | Master | GetPositions - Weight: 5
12:10:22,128 | BinanceWeight | Master | GetAllOpenOrderds - Weight: 40
12:11:23,106 | BinanceWeight | Master | GetInstruments - Weight: 1
12:11:23,821 | BinanceWeight | Master | GetAllOpenOrderds - Weight: 40
12:11:23,999 | BinanceWeight | Master | GetPositions - Weight: 5
